opini_dokumen,opini_label
"Ac diperbaiki, wifi juga terkadang tidak konek, taman kampus diperbaiki lagi",p
"Catnya diperbaharui, dipasang cctv sekalian",n
Wifi diperluas untuk mengerjakan tugas,p
High speed wifi,p
"Tambah fasilitas sebelum saya lulus, biar kerasa membayarnya",n
"Dosen jangan menyusahkan mahasiswa dengan tugas yang menumpuk dr.ir.hj. titin isna oesman, mm fasilitas diperbaiki",n
Lebih peduli,n
Kursi diganti donk,n
Gedung dicat lagi donk,n
Ruagan gelap tidak nyaman,n
Ac baru,n
Ac disetiap kelas cat ruang kelas perpustakaan dibuka sampai jam 5,p
"Kelas dibuat nyaman lagi, ditambah taman2 supaya lebih enak dilihat, wifi jangan pelit2",n
Wc harus bersih,p
Kebersihan ruang kelas harus ditingkatkan,p
Wifi untuk mahasiswa free,p
Kursi sam sekali ga empuk blas,n
Bagaimana agar pers diferensial dapat dipahami dan dimengerti dengan baik,p
Parkiran kampus iii kantin kampus iii ac buat kampus iii,p
Tambahkan perpus dikampus iii,p
Fasilitas ruangan tolong dilengkapi lagi,p
Wifi susah diakses,n
"Parkiran diperluas gedung catnya sudah kusam, perlu dicat ulang bangku belajar perlu di upgrade",p
Dosennya diganti yang lebih muda,n
Wifi susah di akses,n
Wifi tambah,p
Dicat,n
Diruangan diberikan televisi atau pembersih,p
"Perbaikan kursi atau diganti, pengecatan ulang pada tembok",p
"Fasilitas mahasiswa dan dosen perlu dilengkapi, suasana kampus gersang kurang akan asupan oksigen dari pohon",p
Menurut saya cara mengajar sudah sangat baik membuat maksud mahasiswa untuk umum ---fasilitas wifi dan ac,p
Fasilitas ruangan kurang mumpuni,n
Pelayanan perpustakaan perlu ditingkatkan,p
Fasilitas diperlengkap ulang agar lebih nyaman,p
Wifi diperluas dan dipercepat,p
Memberikan pemakaian teknologi pada saat pembelajaran,p
Wifi disetiap ruangan kelas,p
"Kami sangat membutuhkan fasilitas yang layak buat kami belajar, ac ruangan apa mesin open pemanggang manusi, sementara bangunan kampus hanya itu2 saja",n
Perbaikan wifi dan juga colokan dikampus soalnya kadang tidak berfungsi,p
"Fasilitas diverifikasi, ac, peralatan lab, kipas",p
Baik,p
Lengkapi fasilitas kampus yang kurang,p
Baik,p
Harap segra pebaiki ac diruangan bagian b yang kurang dingin,p
Ac ne ditambah sumuk lek singditambahi ora baa wae,n
"Kelasnya panas seperti tenda darurat jangan cuma ruang karyawan yang diperbagus, mahasiswa yang bayar karyawan yang menikmati",n
Ac ga dingin,n
Ac panas jhon,n
Ac kurang dingin b214,n
Saya rasa belum ada saran2 tertentu semuanya masih berjalan lancar,p
Setiap ac dalam kelas perbaiki kami kepanasan,p
Kelas dicat ulang,p
Tolong tiap ruangan kelas diperhatikan,p
Penerangan dan kelistrikan di depan hotspot menwa tolong diperbaiki,p
Loket bukopin ditambah ac kurang dingin,p
Loker baa ditambah peminjaman mobil kampus gratis,p
Ruangan panas antara jumlah mahasiswa tidak sesuai dengan ac,n
"Lebih semnagat lagi mengajarnya gunawan budi susilo, s.pd.t., m.eng.",p
Maju terus pantang mundur,p
Ac mati,n
(bahasa inggris siskom) jangan terlalu cepat dalam mengajar bu,n
"Staf yang dijurusan diganti pak, terlalu cuek tidak melayani mahasiswa ",n
"Kelas lebih dibersihkan lagi, pelayanan seperti proyektor diperbaiki, keramik banyak yang bolong",p
Ruang b-217 dikasih ac ruang hijau ditambah tambah wifi,p
Kebersihan ruang tolong !!!! plus ac di perbaiki,p
Ac dan wifi,p
Ac ditambah,p
Harus lebih sedikit tegas lebih tertib,p
Ac panas-ruangan panas,n
Ruang b-217 lcd rusak keramik ruangan ruangan dicat alam di kampus,n
Kampus 3 pengok : tolong ac disediakan disetiap kelas dan wifi dapat digunakan sewaktu-waktu dengan lancar,p
Ac error,n
Kampus 3 : dikasih ac/wifi ,p
Pasang ac di ruangan2 b214/b215/b216,p
Ac dikelas (kampus 3),p
Lcd b-217 diganti karena rusak dan pantau semua lcd terutama di gedung batay agar mahasiswa tidak terganggu dalam memperhatikan materi dari doesn,p
"Ruang b-217 panas tidak ada ac, kami butuh ac",n
"Kelasnya kurang adem, kangen kelas yang nyaman",n
"Dalam mengajar sebaiknya materi lebih diuasai lagi, terkadamng dalam menerma materi saya tambah bingung, minta ac dan wifi dipenuhi",n
Ac ruang b215 panas,n
Tiongkatkan fasilitas ac dan wifi,p
Sediakan atm bri di kampus,p
Ac ne diademke lek,n
Sediakan atm bri di kampus,p
Kipas angin diruangan lebih diperhatikan lagi !!! wifi juga,n
Benwit wifi diperbesar cos masih lemot ac diperbaiki tempat berkumpul mahasiswa depan baa masih bocor,p
Proyektor di kelas b-217 rusak,n
Mantap,p
Kursinya yang rusak agar segera diperbaiki,p
Kampus 3 dikasih ac,p
Kok hujan terus ya,n
Ketersediaan ac dan wifi pengok,p
Ac kurang dingin,n
"Wifi tolong lebih diperhatikan, ac ruang kelas (kampus 3)",p
Dalam mengajar mohon lebih diperjelas,n
Lebih jelas dalam menyampaikan materi,n
Ac diruangan b214 diperbaiki,n
"Wifi diperbagus, dikasih ac tiap kelas, referensi dilengkapi, dikasih kantin (kampus3) ",p
Lebih jelas dalam menyampaikan pelajaran,n
Ruangannya tolong acnya diperbaiki pak/bu panase poll,n
"Untuk materi pancasila sudah bagus ,diperjelas dalam menjelaskan materi",p
Acnya kurang dingin,n
"1. persioapan materi harus lebih matang,2. aplikasi dimana harus dijelaskan, 3.wifi dan ac dikampus diberikan lebih baik",p
Well,p
"Wifi, ac diberikan tambahan",n
"Sebaiknya tulisan pada whiteboard harus diperjelas (drs.syukri, m.hum)",n
Parkiran dibenahi agar jika penuh tidak harus parkir sembarangan ac tidak dingin,n
"1.wifi kampus 3 mohon diberi, 2. meja kursi mohon diganti, 3. ac ruang kelas",p
"Dalam penyampaian materi kemmahasiswa kurang baik, nilai kurang murah (drs.syukri, m.hum)",n
Dalam melakukan penjelasan sering tidak jelas,n
Tolong tambah ac dan wifi dikampus iii,p
"Ac , wifi, proyektor, papan tulis, kursi diganti !! ",n
"Wifi yang yang memadai, tambah ac",p
"Tetap semangat pak (drs.syukri, m.hum)",p
"Penjelasan diperjelas dalam menerangkan materi, jangan terburu buru (drs.syukri, m.hum)",n
Selalu memperhatikan absensi mahasiswa terus menerus,p
"Sukses terus pak (drs.syukri, m.hum)",p
"Jika diskusi pasti pengen menang bapaknya, kalau menjelaskan pasti suka kurang paham (drs.syukri, m.hum)",n
Lanjutkan,p
"Jika menerangkan materi jangan terlalu banyak ngomong bikin mahasiswa ngantuk, jika bapak kebanyakan bicara dan jangan terlalu baik sama mahasiswa (drs.syukri, m.hum)",n
"Ditingkatkan lagi cara mengajarnya baik penjelasan dll (drs.syukri, m.hum) dari segi fasilitas lebih ditingkatkan lagi",n
"Dosen dalam menerima pendapat dari mahasiswa kurang baik,sebaiknya dosen bisa menerima aoa yang dikemukakan mahasiswa dalam pembelajaran maupun ujian (drs.syukri, m.hum)",p
Mohon untuk kelayakan fasilitas ruang kelas ditingkatkan,p
"Cara mengajar agar ditingkatkan lagi,agar mahasiswa mudah memahami",p
"Cara nebgajar ditingkatkan lagi agar memahami (drs.syukri, m.hum)",p
Fasilitas ruang kelas ditingkatkan,p
"Mohon dalam penyampaian materi diperjelas (drs.syukri, m.hum)",p
"Mohon dalam mengajar diperjelas (drs.syukri, m.hum)",p
"Fasilitas ruang kelas ditingkatkan, misalnya setiap ruangan harus ada ac, jaringan internet harus dipasang dan tempat-2 hotspot ",p
Kebersihan dan kenyamanan ruang kelas harus lebih baik lagi,p
Ac diperbaiki,p
"untuk papan tulis harus lebih baik, lantai harus diperbaiki (masih ada berlubang), saran untuk ibu udah bagus lebih ditingkatkan lagi, metode pembelajaran agar lebih menarik",p
"Fasilitas harus lengkap, wifi dan lainnya",p
Tembok dicat harus bersih,p
"Terus pertahankan bu, jangan menurun.. amien",p
Jangan terlalu cepat dalam mengajar,n
Ruangan terlalu pnas ac kurang dingin ,n
Ac dan wifi,p
Cat ulang kampus dan ruangan dibenerin biar gak panas,n
"1.kipas angin setiap ruangan lebih diperhatikan lagi!!!, 2. wifi juga jangan lemot (kampus 3)",n
Sebaiknya dalam mengajar diberi pendahuluan tentang materi nya yang akan diajarkan ac dan wifi tolong dikasih dalam kelas,p
Ac kurang banyak panas banget,n
Good,p
Dikasih ac didalam kwlas agar lebih nyaman didalam kelas,p
Ac dan wifi,p
"1.ac, 2. tembok dicat lagi biar lebih bagus dan fresh",p
Ac dan wifi,p
Setiap ruangan diruang ac,n
tambahan ac,p
Ruangan kelas dibuat lebih nyaman,p
Untuk sarana penunjang bisa disediakan ac,p
Tambahan ac,p
Ac dan kebersihan kelas,p
"Lebih ditingkatkan cara mengajarnya agar mahasiswa mudan memhaminya, langsung dijelaskan dengan contoh sebaiknya dijawab dengan nada rendah (metode numerik 06) ",p
Mohon dalam penyempaian diperjelas,n
Keseluruhan bagus,p
"1.ruangan mohon diperbaiki lagi seperti ac, proyektor dan papan tulis, 2. untuk dosen dalam pembelajaran harus lebih sabar lagi (metode numerik 06) ",p
"Apabila sedang menerangkan harap suara dikeraskan agar bisa lebih jelas (drs.syukri, m.hum)",n
"Mohon penjelasan saat mata kuliah berlangsung (drs.syukri, m.hum)",p
"Keramik yang sudah rusak mohon diperbaiki serta kenyamanan didalam keals lebih ditingkatkan seperti kipas angin , papan tulis",p
"Tolong sampah disekitar kampus dibersihkan, wifi/jaringan internet dikampus 3 diperbaiki, papan tulisnya diganti dan kursi, dosen mengajar dibagusi ",p
"Suaranya lebih besar lagi ya bu dra. uminingsih, m.kom.",n
Toilet ditambah,p
"1. lantai keramiknya tolong dibenarkan, 2. lcd tolong dibetulkan, 3. kipas angin tidak berfungsi tolong dibetulkan, 4. kebersihan tolong ditingkatkan ",p
Untuk ibu dwi kenalilah dan dekatilah mahasiswa yang diampu dalam menjelaskan materi diharapkan lebih rinci lagi,n
Kurang toilet,n
Kurang toilet,n
Tambah toilet,p
Wifi diaktifkan,p
Wifi diaktifkan,p
Wifi tolong,n
Wifi diaktifkan,p
Dibuat lebih efisien dan simpel,p
"Metode numerik 06 : lebih sabar dan harus mengenal probadi mahasiswa masing-masing, ruang kelas kotor harap dijaga kebersihannya. kelayakan lcd kurang baik, harap ditingkatkan, gedung dicat ulang demi kenyamanan, harap diperhatikan keluhan kami ",p
"Tolong kampus ini dicat ulang, sudah kami sampaikan berulang-ulang tapi belum ada tindak lanjut ",n
"Cara mengajarnya harus lebih baik dan ditingkatkan lagi terutama ketika mahasiswa bertanya jika ada materi yang kurang bisa dipahami, cara mengajar harus ditingkatkan agar mudah dipahami (metode numerik)",p
Lebih memberikan perhatian pada mahasiswa lain yang belum begitu paham dengan metode yang diberikan (metode numerik06),p
"Mohon lebih diperhatikan beberapa media pendukung kuliah yang rusak untuk segera diperbaiki, ac dan wifi dipercepat",p
"Metode numerik 06 : -tolong perbaiki cara anda menyampaikan materi kepada mahasiswa, karena sering apa yang anda sampaikan menjadi kesalahpahaman bagi mahasiswa, tolong perbaiki kipas anginya kalau bisa ganti ac saja ",p
"Menambah bangku-bangku hotspot, memperbaiki wifi, aair mancur dan mnegecat ulang kampus",p
"Tolong pasang ac disetiap ruang kelas, atm dikampus, wifi dipasang serta tempat-2 duduk untuk hotspot, kampus dicat ulang ",p
Diharapkan agar kampus dapat menyediakan wifi yang baik dan lancar koneksinya dan dapat menyediakan tempat-tempat belajar dikampus 3 seperti yang ada dikampus i,p
Tambahan perpustakaan dikampus 3 dan di cat temboknya,p
"Diharapkan membuat lahan parkiran yang memadai, ruang himpunan statistik dikampus 3",p
"Kampus 3 diberi fasilitas parkiran terrtutup ""jangan bocor"" . helm teman-2 hilang 2x parkiran tidak diawasi !",n
"Harap diperbaiki lcd,ohp dan papan tulis",p
"Temat parkir titambah dong, tempat parkir yang ada supaya tidak bocor. kolam air mancur harap diperbaiki supaya tidak terlihat kumuh !!!",n
Kipas angin diruangan kelas & wifi lebih diperhatikan lagi yaa!!!,n
Kebersihan ruang perlu diperbaiki,p
Sediakan wifi dikampus 3,p
Sediakan tempat atm,p
Internet di lab 1 pasang wifi.id. kampus 3 ,p
"Wifi lemot, jaringah lambat, chrager di hotspot diperbaiki karena tidak fungsi",n
Ac kurang dingin,n
"Kalau bisa kursi kuliah diganti semua, karena kursi yang sekarang duduk kelamaan bikin sakit dan malas. whiteboard ditambah",n
Mohon hidupkan chrager diarea hotspot dan percepat koneksi wifi untuk menunujang/mendonload soal/materi perkuliahan,p
"Ac kurang dingin, atm diadakan",n
"Ac kurang dingin, atm diadakan",n
"1.atm, 2.cata ruangan, 3. ac dirunag b1.12",p
Matakuliah ini (sistem tertanam( membuat tentang perangkat dan kerjanya sehingga membutuhkan akses laboratorium (praktek),p
Ac kurang dingin,n
Tembok dicat ulang,p
"Penambahan kelas baru, juga ac diperbaiki ""mengutamakan kenyamnan mahasiswa"" ",p
"Mengidentifikasi akreditasi b yang baik-2 : 1. penambahan kelas, 2. penambahan ac",p
Ac tolong diperhatikan,n
Kelas yang tidak nyaman,n
Terasa tidak ada perubahan,n
Pasang ac,n
Internet di lab pengok tolong diperbaiki,p
"Hotspotnya kurang kenceng, sama listriknya mati terus",n
"Ruangan perlu dipasang ac, kampus perlu adanya atm",p
"Tambah ac dong, sumuk di ruang s2.06 ",n
Ruangan kelas diatas panas,n
"Acnya ditambahin pak setiap kelas, panas!! ",n
"1. mushola kampus 3 mohon diberi ac atau kipas angin, 2.kurangnya ac pada gedung barat kampus i. 3.kampus 1 diberi atm",p
"Ruangan panas agar lebih nyaman lagi, dikasih pendingin ruangan",p
Perbaiki sarana dan prasarana,p
"Atm bri tolong diadakan, supaya tidak menyulitkan mahasiswa",p
Tingkatkan fasilitas,p
Agar meningkatkan kebersihan kampus,p
"Mukena dikampus 3 harap dibersihkan, wc yang dibersihkan jangan hanya yang dimushola saja. sediakan kantin dengan harga mahasiswa, kantin belakang mahal-2",n
Agar meningkatkan kebersihan kampus,p
Ac bos,n
Agar memperhatikan kebersihan kampus,p
"Lebih tegas bu endang widuri asih, s.t.,m.t. biar nggak diremehin",p
"Kelasnya diberi pendingin (ac) tambahan, cukup panas kalau siang",n
"Ruangan kelas panas, tidak ada ac",n
Cat kelas dindingnya dicat kembali,p
Ac ganti baru,p
Cat kelas dindingnya dicat kembali,p
Rapikan situasi ruang kelas,p
"Tambahkan sarana penunjang seperti ac, proyektor, pengeras suara",p
Rapikan situasi ruang kelas,p
Perbaikan layanan free wifi (karena tidak semua tempat tidak free wifi),p
"Disediakan pengatur udara agar tidak panas, dan segera diadakan perbaikan fasilitas",p
Perbaikan free wifi karena tidak semua free wifi,p
Pendingin ruangan mana panas bos,n
"Kurang pendingin ruangan, ruangan panas",n
Kesediaan wifi disetiap kampus terutama kampus 3 dan ketersediaan ac disetiap ruangan (kampus 3),p
Kurang pendingin ruangan karena kelas panas,n
Wifinya donk pak buat no smoking area,n
Wifinya ditambah,n
Kenyamanan kelas kurang,n
"Siang hari kelas panas , kipas saja tidak cukup",n
"Fasilitas kelas diberi ac baiar pembelajaran nyaman, dibuat tempat parkir senyaman mungkin biar parkirannya rapi, full wifi",p
Kelas panas,n
Dosenya asik ruangan panas,n
Kelas terlalu panas perlu ac,n
Wifi dan ac,p
Penggunaan sarana perpustakaan digunakan dengan koefisien,p
Tambahkan sarana penunjang untuk mahasiswa wifi nya diaktifkan,p
Tambahkan sarana untuk mahasiswa wifi nya,p
Tambahkan sarana penunjang untuk mahasiswa wifi nya,p
Adakan fasilitas ac,p
Ruang kelas panas tolong diperbaiki,n
Wifi nya mana,n
Ketersediaan wifi.id,p
"Ac paka , ruangan atap bolong",n
Ketersediaan wifi.id,p
"Ruangan yang ada di ruang b217 keramiknya rusak, acnya tidak ada, ruangan panas mohon partisipasi/fasilitas untuk ruang kelas sangat diperlukan demi kenyamanan mahasiswa",n
Setiap ruangan ac harus dalam keadaan baik,p
"Ac kelas kurang, panas mohon fasilitasnya diperbaiki",n
"Menurut saya bukan masalah dosennya untuk kuisioner ini, tapi masalahnya ada pada kampusnya yaitu kampus 3, kampus 2 fasilitasnya sangat terbatas bisa dibilang kampus yang hanya datang sekedar kuliah, jadi intinya pertimbangkan bangunan kampus, pada kampus 3 agar belajar lebih menyenangkan ",p
"Ruangan nya dipernyaman lagi, supaya kita dapat konsentrasi kuliahnya",p
"Sarana kelas dikampus 3, kalau ada tambahin sarananya",p
Kenyamanan kelas masih sangat kurang,n
Kampus 3 perlu dipernyaman lagi,p
Tingkatkan pelayanan fasilitas kelas,p
Ac disetiap kelas,p
"1. free wifi disediakan, 2. diganti dengan kursi lipat, bahan sakit semua duduk diatas kursi kayu. 3. kebersihan ruangan atau toilet ditingkatkan dan juga kurangnya parkir, 4. kurangnya pohon, kantin kalaua bisa ditambah lagi dikampus 3",p
Lebih ditingkatkan dalam pergedungan teknologi informasi dan lebih perokok diarea kampus,n
"1. ditingkatkan & dipertahankan kemampuan mengajarnya, 2. sering sekali polusi suaran dari luar kelas : generator dll",p
Memeprbanyak wifi dan memperkuat jaringan wifi,p
Bangunan infrastruktur kampus perlu diperbaiki lagi misal : cat tembok yang perlu diperbaiki lagi dan lantai yang diganti khususnya ruang depan mushola dan dikampus 3 ditambahkan wifi gratis. memudahkan mengerjakan tugas dari dosen,p
Lebih meningkatkan lagi fasilitas kampus dan ruang kelas agar lebih nayaman,p
"Kurangnya fasilitas wifi, kurang nyaman lingkungan kampus saat hujan, toilet dimushola/lantai 3 kurang kebersihannya",n
"Infrastrukturnya mohon dilengkapi lagi, didirikan bangunan baru, ruang kelas bikin ac ",p
Ibu sunarsih semoga menjadi dosen yang asyik,p
Kami kampus 3 butuh fasilitas yang sama seperti kampus 1,n
Kami butuh fasilitas yang sama dengan kampus 1,n
"Kami butuh ac, kami butuh fasilitas yang memadai seperti wifi dalam kelas agar menciptakan suasana yang baik",n
Untuk kampus wifi ditambahkan,p
"Kampus 3 belum ac jangan hanya kampus 1 yang pake ac dong, fasilitasnya tolong diperhatikan",n
"Fasilitas kurang memadai seperti ac, gedung kurang besar, wifi",n
"Semoga pak ir. gatot santoso, mt. sehat selalu",p
"Peningkatan fasilitas, terutama kampus 3 dan kebersihan kelas perlu diperhatikan banyak nyamuk",p
"Diberikan contoh soal untuk menunjang pembelajaran dan diberikan lebih mendalam pendalaman materi yang diberikan ir. gatot santoso, mt.",p
"Mengurangi kata2 yang tidak sepantasnya dikatakan ir. gatot santoso, mt.",p
Fasilitas kelas diperbaiki,p
"Tambah dan perbarui sarana dan prasarana buktikan bahwa memang ada kontribusi nyata dari akprind sehingga mahasiswa lebih berprestasi, tingkatkan",p
Sudah baik semua,p
".cat tembok kampus, keramik kelas diperbaiki, butuh ac, kampus kurang asri, kamar mandi kurantg bersih. satpam kurang ramah, ganti bangku diruang kelas, proyektor ada yang rusak. kami butuh ac!!!!",n
Kami butuh ac kampus 3,n
Harap memperbaharui warna cat dinding dan segala bentuk coretan dan membuat aturan tegas terhadap mahasiswa yang melakukan coret mencoret pada seluruh fasilitas kampus,p
Sebaiknya dalam praktikum ed ini asisten jangan linglung dalam menilai baik laporan maupun pretest disini saya merasa banyak sekali perbedaan dalam penilaian antara minggu ini dan minggu lalu padahal itu sama,n
"Saya menyarankan untuk fasilitas ditingkatkan dengan diberikan ac di tiap kelas, toilet lebih diperhatikan, proyektor diganti yang baru sehingga tidak mengganggu perkuliahan dikelas jika proyektor tiba-tiba mati",p
Penggunaan simulai/video simulasi dalam lcd akan memberi pemahaman yang mendalam dalam karakteristik komponen materi ajar,p
Fasilitas ditingkatkan seperti ac lcd yang lebih baik wifi,p
Menjelaskan materi yang diajarkan,p
"Fasilitas pendukung kegiatan belajar mengajar, seperti proyektor dan spidol mohon untuk diperhatikan",p
Sarana penunjang rest area kurang dan butuh ac disetiap kelas,p
"Perbaikan ruang kelas, lcd kurang optimal, wifi, ac",p
Peralatan dilaboratorium,p
"Ac,spidol,lcd,papan tulis diganti",p
Tidak ada,p
Lebih diperbanyak pustaka pembelajaran,p
Tingkatkan yang bernilai 3,p
Ac diperbaiki dan ditambah agar mahasiswa nyaman lcd proyektor diperbaiki lagi,p
"Mamaf sebelumnya bu, mungkin saran saya, lebih dipelankan kecepatannya ketika mengajar karena masih banyak mahasiswa yang tidak ngerti. untuk infrastruktur kelas mungkin lebih dikondisikan lcdnya dan mungkin kampus 2,3 bisa ditambah ac biar tidak diskriminasi dan kampus 1 terimakasih ",p
"Kami butuh ac biar proses belajar nyaman, kebersihan ruang kelas dan kamar mandi, proyektor rusak jangan dipakai harus diganti",p
"Mengecet kembali dinding2nya karena sudah banyak coretan, wifi gratis",p
Tambah lagi ac proyektor spidol whiteboard dikampus 1 dan 2 diperbaiki,p
Kami ingin ac dikampus 3,n
"Listrik kadang mati sendiri ac tidak dingin, kurang banyak perluas lahan kampus kursi harap diganti baru modul perkuliahan kurang",n
"Sebaiknya kimia dasar teknik lingkungan tidak 3 sks sekaligus karena sangat melelahkan, kami butuh ac, wifi gratis dan ruangan kelas yang lebih nyaman lagi karena baru kampus 1",p
Jangan fokus yang depan saja,n
Sebaiknya infrastruktur dan fasilitas ditingkatkan lagi seperti penyediaan ac ditiap ruangan (kalau bisa) guna lebih nyaman dalam segala prasarana,p
Bangku dalam ruangan perlu diganti,p
Ac kurang dingin,n
Ac mohon diperbaiki agar bisa nyaman kebersihan papan tulis lebih ditingkatkan tempat sampah dan sebagainya di setiap sudut kampus atau dekat yang terdapat tempat duduk keindahan kampus ditingkatkan,p
